customer_id,avg_transaction_value
C8618,1835.73125
C9587,2251.2838461538463
C8387,1909.1714285714286
C8111,2480.1992307692303
C1804,1989.9544444444446
C2983,2299.855
C1842,2567.8546153846155
C3656,3371.968181818182
C1602,2063.39
C8196,1841.320909090909
C6521,3022.2190909090914
C1524,2206.7623529411762
C1100,2515.874666666667
C5725,1696.3029999999999
C1571,1998.8246153846153
C3970,2054.3430769230768
C8007,2746.3999999999996
C6966,1786.7494444444446
C2430,2887.8577777777773
C2207,2788.6279999999997
C2367,3651.2528571428566
C2777,2134.5944444444444
C7299,2834.363888888889
C7031,2253.9493333333335
C8178,1693.7783333333334
C2320,1881.1826666666666
C9225,2211.704705882353
C4932,1623.851111111111
C2100,2950.378421052632
C2843,2588.0966666666664
C5169,1251.250769230769
C6091,2217.23
C8907,2695.4964705882353
C5733,2920.568
C4276,1817.927777777778
C6174,2483.3554545454544
C5236,2277.7085714285718
C6406,2184.2121052631583
C4980,1660.480909090909
C4863,3041.8307142857143
C8368,2355.2635714285716
C5219,2733.284
C6678,1836.4766666666667
C8849,1909.598181818182
C1875,2713.0919999999996
C4202,1782.07625
C5745,2124.3765
C3424,2350.8506666666667
C2846,3110.538125
C5974,4757.512000000001
C3981,2161.1042857142857
C3397,2820.633333333333
C5490,2479.964375
C1774,2633.3500000000004
C8090,2456.5957142857146
C5984,1938.66
C8477,2778.60875
C4112,2063.9185714285713
C1628,1880.4739999999997
C2490,3490.845714285714
C3029,2795.7778947368424
C5934,1960.5352631578946
C3280,1685.0833333333333
C7927,2396.3340000000003
C7995,1295.8371428571425
C6502,2934.277777777778
C7413,3407.7755555555555
C9224,1924.3281249999998
C3620,3033.1375000000003
C8230,2365.877333333333
C7810,1714.1364705882352
C7341,2690.533076923077
C9605,2811.006875
C5835,2322.845714285714
C1305,1695.1390909090908
C3178,2357.5328571428568
C9082,3004.016428571428
C5839,3641.1485714285714
C4566,1921.916842105263
C3109,1741.5543750000002
C5055,1852.2330769230769
C8112,1991.7424999999998
C9405,2470.719
C1829,2692.5241666666666
C6832,2471.5808333333334
C2243,2719.202857142857
C4141,1802.6771428571428
C2744,2486.334705882353
C7923,2019.6938461538464
C4973,2819.846315789474
C5988,3913.592857142858
C3124,2132.7785714285715
C1130,2334.4395238095235
C2178,2692.5615384615385
C1482,2331.11
C3929,2145.0891666666666
C6198,2221.4357142857143
C2570,1811.2806249999999
C2899,1966.5745454545454
C4362,2440.520625
C5781,1901.3711764705886
C2779,2645.717777777778
C8661,2144.3863636363635
C3829,2131.041
C4330,2358.2670000000003
C6606,3647.5514285714285
C1709,2629.4858333333336
C1665,1667.8282352941176
C1917,2390.5325000000003
C2954,2492.5723076923077
C8666,2316.2670000000003
C9602,3307.8683333333333
C8817,2801.2200000000003
C5607,2341.3558333333335
C1189,1968.5255555555555
C5017,2908.928
C1194,1650.472142857143
C2539,2431.09
C1586,2584.013636363636
C4166,2507.1215789473686
C9229,3370.4276923076927
C7228,2826.9957142857143
C1852,2487.84
C2218,2667.03
C7164,2069.1875
C8675,2261.5872727272726
C7511,2385.265
C4909,2664.07875
C1358,2634.593571428571
C7681,2697.555384615385
C8075,2683.238181818182
C4592,3979.7990909090904
C6975,3116.218181818182
C7826,2826.4249999999997
C1814,1427.9045454545455
C6924,2412.1846666666665
C9393,2010.86125
C4598,2997.6324999999997
C3457,1807.0666666666666
C8228,3321.487142857143
C9084,2328.4536842105263
C1212,2182.8125
C4050,2125.157
C4105,2467.1115384615387
C6754,3366.4833333333336
C2006,2685.0935
C7977,2440.985
C9388,2281.703571428571
C3202,1670.3281250000002
C4364,2571.978
C5872,3073.24
C2743,2227.966
C7479,2708.0930769230768
C6463,2117.8700000000003
C1729,2048.3075000000003
C9760,2496.8137500000003
C1096,1673.966923076923
C7777,2738.6473684210528
C1642,1521.425
C5461,2472.807
C6448,2733.378571428572
C6326,1700.112
C3842,2445.55
C9495,3243.850909090909
C3642,1362.337
C5526,3322.563571428572
C5418,3843.51
C5164,2224.315625
C9008,2444.8066666666664
C3099,2149.6945454545453
C5421,2418.4915384615383
C6165,2089.61
C8803,2423.790909090909
C2428,2695.8607692307696
C4942,2731.68
C7333,2431.397857142857
C2705,3340.4283333333333
C4054,1633.788823529412
C1815,2997.013333333334
C1623,3620.993125
C3234,1803.2794117647059
C1520,1451.29
C9171,2196.0276470588237
C5307,2619.9344444444446
C7035,2743.537894736842
C8241,3666.845
C8737,3293.1714285714284
C7345,3036.846
C5655,2197.3660000000004
C2357,1928.2775
C7054,2636.4271428571424
C3927,3814.0739999999996
C5323,2452.7766666666666
C9664,3798.632727272728
C2650,2659.6786666666667
C1704,1688.266
C2534,2142.8349999999996
C6940,2551.0246666666662
C1173,1595.0994444444445
C3553,2790.6773684210525
C6702,2876.463
C6123,2821.765
C8765,1668.4510000000002
C7949,1897.1536363636362
C8473,2464.574285714286
C2342,3016.909090909091
C8845,2109.7225
C7990,2401.033
C1195,2863.62
C5811,2231.069
C5855,2286.7690000000002
C5176,2567.623076923077
C6087,1691.5933333333332
C8508,987.8583333333332
C6772,2774.075833333333
C8433,2070.4178947368423
C9159,2399.2315384615385
C4741,2277.53
C9182,1732.9046666666666
C3677,2743.540769230769
C5646,2521.2149999999997
C8590,2627.733846153846
C2472,2758.700833333333
C9765,3404.27
C2508,2765.4707692307693
C8983,2490.322222222222
C9534,2681.154705882353
C6951,1841.973076923077
C1491,2028.2618750000001
C1454,2744.251538461539
C6900,2225.5891666666666
C6681,2859.8273333333336
C5644,3403.3533333333335
C6762,2720.7761538461536
C6782,2869.836
C7415,2983.2442857142855
C6417,2565.6075
C4708,3328.8643749999997
C9014,2956.4326666666666
C2425,3168.7391666666667
C3777,2150.7169999999996
C3001,2683.907391304348
C3820,2741.0614285714287
C2461,2567.411333333333
C6943,3112.273333333333
C9817,2516.7809090909095
C3590,2093.6181818181817
C1396,1981.545
C7123,1719.0754545454547
C9706,1591.9375
C1740,2456.4233333333336
C6748,2625.753333333333
C2358,2475.094
C2270,1718.8185714285714
C6512,2062.94
C5857,3377.3563636363633
C1649,2993.1036363636363
C6715,3093.5007142857144
C2576,3321.42
C2379,1813.1725000000001
C7925,2577.1421428571425
C8300,3973.2721428571426
C4440,3163.8099999999995
C5105,2164.365
C4171,3013.456153846154
C3097,2070.89
C7579,2988.993
C8838,2566.0720000000006
C3163,2383.311538461538
C7132,2301.984615384615
C9438,2582.7218181818184
C7615,2216.004666666667
C6005,1745.087
C4286,1657.4350000000002
C4353,3064.126666666667
C5170,2256.1966666666663
C1023,1819.1106666666667
C6016,2830.7776470588237
C1947,2690.2725
C8879,3385.548571428571
C3069,2884.442142857143
C2836,2116.5855555555554
C6002,2634.5337500000005
C1943,2994.616666666667
C9130,2227.2273333333337
C1498,3471.345714285714
C9780,2558.395
C5282,2922.8228571428567
C2766,1930.437857142857
C5411,3173.4825
C5262,2317.455
C9896,2859.453
C3651,2706.233333333333
C7907,1842.4755555555555
C5903,2597.5449999999996
C7909,2087.556666666667
C2368,2473.440714285714
C5950,2238.0855555555554
C5301,2110.965
C2412,3361.5592307692305
C6383,3522.243529411764
C2566,2095.3184615384616
C4924,1885.7607692307693
C3813,1007.4207692307693
C1769,1895.642857142857
C1798,2761.23625
C6845,2625.1108333333327
C3024,2481.4557142857147
C3778,2582.1635714285717
C8718,2135.4945454545455
C1337,2019.458888888889
C4125,2480.566
C4552,2979.9053846153847
C7263,1371.465
C6967,2631.995625
C5104,3605.6711111111113
C9612,2514.5038461538466
C3201,2212.557333333333
C3046,2487.546363636364
C5737,1679.0266666666666
C6931,2661.5232
C7424,3510.646666666667
C4305,3335.5241666666666
C7001,2677.1714285714284
C8579,2331.0862500000003
C5353,2293.100833333333
C4915,1821.033076923077
C5881,2389.77
C7916,3114.5638461538465
C4628,1810.3050000000003
C9516,3558.911428571428
C2473,4063.5
C4150,2421.248125
C9296,2462.457142857143
C7190,1286.8470000000002
C4288,3038.3233333333333
C9791,1466.475
C2062,1768.3491666666669
C7194,3868.578125
C8370,2621.780625
C1036,3288.5781818181817
C8132,3468.244
C3423,3391.0012499999993
C1114,2461.0484615384617
C1703,2096.054
C4165,2146.904285714286
C5241,2641.4946153846154
C7083,2211.2262499999997
C6985,3216.231052631579
C5637,2622.3015384615383
C2120,2363.836923076923
C9442,3007.801
C4640,2605.445
C8873,1513.7292307692305
C4498,2178.861
C6384,2913.815
C6974,2122.0717647058823
C9051,2036.7687500000002
C7234,3014.9722222222226
C9569,2520.6142857142854
C3033,2679.236
C7892,2543.685384615385
C1955,1952.8066666666664
C3579,2748.311818181818
C5874,2544.2107692307695
C7733,1678.8041666666668
C2792,2837.611666666667
C9256,2600.8575
C5948,1627.3749999999995
C9687,3444.581111111111
C8568,3351.448666666666
C9096,3020.5746153846153
C3645,2468.11
C8774,2158.719
C6042,2042.658888888889
C6119,2840.1671428571426
C1732,2856.165714285715
C8208,2142.6957142857145
C7493,2976.4547368421054
C9892,2940.8495
C7771,3661.466
C7385,1649.3258823529413
C9075,2243.732
C1127,2123.0026315789473
C1918,2015.5376470588235
C5532,2177.3728571428574
C8679,2675.288235294118
C8780,2125.3344444444447
C9776,2323.9853846153846
C3913,2994.5833333333335
C7379,2129.5685714285714
C7370,2506.703333333333
C8794,1289.2423076923078
C1321,1983.5416666666667
C4786,2678.376
C1328,2791.046363636364
C3343,2704.28
C1343,2480.7340000000004
